occ,year,mean.snow.cover,mean.precip,total.precip,mean.temp,mean.temp.min,mean.temp.max,mean.temp.ground.min,day.snow.cover0,day.snow.cover3,day.snow.cover5,day.below.zero.ground
1,2009,0,4.442857143,62.2,19.36428571,14.09285714,24.55714286,10.06428571,0,0,0,0
2,2009,0,0.778571429,10.9,20.74285714,14.32142857,27.52142857,10.12857143,0,0,0,0
3,2009,0,0.828571429,11.6,16.27857143,9.985714286,22.49285714,5.785714286,0,0,0,0
4,2009,0,0.321428571,4.5,15.3,10.81428571,19.70714286,6.864285714,0,0,0,0
5,2009,0,0.6,8.4,14.13571429,8.642857143,19.22142857,4.207142857,0,0,0,3
6,2009,0,3.25,45.5,5.95,2.321428571,9.492857143,-0.935714286,0,0,0,10
7,2009,0,1.164285714,16.3,7.885714286,3.164285714,12.40714286,-0.607142857,0,0,0,8
8,2009,0,2,28,6.464285714,2.3,10.87857143,-0.807142857,0,0,0,8
9,2009,0,1.971428571,27.6,6.685714286,3.021428571,10.25714286,-0.907142857,0,0,0,10
10,2009,0,1.607142857,22.5,1.178571429,-1.635714286,3.557142857,-4.492857143,0,0,0,10
11,2009,0.5,1.914285714,26.8,0.607142857,-3.314285714,4.457142857,-6.885714286,5,0,0,12
12,2009,9.071428571,1.071428571,15,-3.271428571,-5.778571429,-1.342857143,-8.928571429,14,7,7,14
13,2009,4.428571429,1.157142857,16.2,-1.121428571,-4.014285714,1.457142857,-6.685714286,14,8,4,14
14,2009,4.357142857,0.964285714,13.5,-1.171428571,-3.564285714,0.842857143,-6.142857143,10,6,6,13
15,2009,5.785714286,0.857142857,12,1.971428571,-1.75,5.871428571,-6.085714286,9,6,6,13
16,2009,3.214285714,0.964285714,13.5,0.035714286,-4.321428571,4.085714286,-8.221428571,7,7,5,13
17,2009,0.5,0.771428571,10.8,8.385714286,3.071428571,14.02857143,-1.185714286,2,1,0,8
18,2009,0,0.828571429,11.6,8.642857143,3.607142857,13.67142857,-0.5,0,0,0,6
19,2009,0,0.292857143,4.1,8.607142857,2.8,13.88571429,-3.228571429,0,0,0,13
20,2009,0,2.785714286,39,12.05714286,6.721428571,16.74285714,2.65,0,0,0,3
21,2009,0,2.028571429,28.4,9.807142857,6.314285714,13.3,3.685714286,0,0,0,3
22,2009,0,2.278571429,31.9,15.40714286,10.84285714,19.87857143,7.514285714,0,0,0,0
23,2009,0,3.042857143,42.6,18.22142857,13.3,23.34285714,10.17142857,0,0,0,0
1,2010,0,2.964285714,41.5,17.82142857,13.05714286,22.22142857,9.214285714,0,0,0,0
2,2010,0,1.578571429,22.1,18.23571429,13.44285714,22.94285714,10.12142857,0,0,0,0
3,2010,0,2.035714286,28.5,13.70714286,9.221428571,18.25714286,5.335714286,0,0,0,0
4,2010,0,2.471428571,34.6,13.11428571,7.1,18.9,2.692857143,0,0,0,3
5,2010,0,0.7,9.8,11.72857143,6.992857143,16.47142857,3.1,0,0,0,2
6,2010,0,1.492857143,20.9,6.314285714,2.15,10.60714286,-1.792857143,0,0,0,10
7,2010,0,0.278571429,3.9,8.542857143,3.885714286,13.55,-0.428571429,0,0,0,8
8,2010,0,2.478571429,34.7,7.071428571,3.65,10.59285714,0.414285714,0,0,0,6
9,2010,6.571428571,1.971428571,27.6,-1.864285714,-4.764285714,0.171428571,-9.064285714,9,9,7,12
10,2010,5.285714286,3.5,49,-1.335714286,-3.692857143,1.05,-5.857142857,13,10,7,11
11,2010,8.785714286,1.9,26.6,-1.185714286,-4.192857143,1.321428571,-6.378571429,14,10,8,12
12,2010,1.428571429,1.957142857,27.4,3.314285714,-0.257142857,6.128571429,-3.914285714,6,2,0,7
13,2010,0.714285714,0.492857143,6.9,0.271428571,-2.285714286,2.807142857,-5.442857143,8,0,0,13
14,2010,0.071428571,0.264285714,3.7,2.042857143,-1.85,6.271428571,-5.957142857,1,0,0,13
15,2010,0.428571429,0.314285714,4.4,1.65,-1.521428571,5.192857143,-5.428571429,3,0,0,12
16,2010,0,0.021428571,0.3,4.035714286,-1.471428571,9.757142857,-7.192857143,0,0,0,13
17,2010,0,1.085714286,15.2,7.964285714,2.3,13.2,-2.692857143,0,0,0,10
18,2010,0,1.05,14.7,12.13571429,5.771428571,17.9,0.278571429,0,0,0,6
19,2010,0,0.907142857,12.7,11.38571429,3.264285714,18.35,-2.571428571,0,0,0,12
20,2010,0,1.214285714,17,12.25714286,5.771428571,18.16428571,-0.85,0,0,0,7
21,2010,0,1.164285714,16.3,15.56428571,8.9,21.66428571,2.892857143,0,0,0,3
22,2010,0,1.342857143,18.8,16.97857143,10.34285714,22.85,5.128571429,0,0,0,1
23,2010,0,3.478571429,48.7,16.88571429,12.24285714,21.49285714,8.057142857,0,0,0,0
1,2011,0,3.264285714,45.7,18.1,12.85714286,23.57857143,8.478571429,0,0,0,0
2,2011,0,0.842857143,11.8,21.51428571,15.64285714,27.7,11.52857143,0,0,0,0
3,2011,0,1.164285714,16.3,17.75714286,12.53571429,23.30714286,8.321428571,0,0,0,0
4,2011,0,0.657142857,9.2,15.16428571,9.621428571,21.02142857,4.735714286,0,0,0,0
5,2011,0,1.778571429,24.9,14.65,8.435714286,21.12142857,4.121428571,0,0,0,0
6,2011,0,1.392857143,19.5,8.235714286,3.614285714,13.55,-0.7,0,0,0,9
7,2011,0,0,0,8.371428571,3.171428571,14.92857143,-1.492857143,0,0,0,10
8,2011,0,0,0,4.021428571,0.4,8.092857143,-3.478571429,0,0,0,10
9,2011,0,0.842857143,11.8,3.7,-1.064285714,9.021428571,-6.042857143,0,0,0,13
10,2011,0,4.021428571,56.3,4.35,1.257142857,7.514285714,-1.807142857,0,0,0,11
11,2011,0.571428571,2.557142857,35.8,3.821428571,1.528571429,5.885714286,-0.971428571,3,1,0,9
12,2011,0,1.521428571,21.3,3.714285714,0.65,6.478571429,-2.3,0,0,0,9
13,2011,0,2.585714286,36.2,1.457142857,-1.535714286,4.771428571,-4.264285714,0,0,0,10
14,2011,1.642857143,0.157142857,2.2,-9.042857143,-12.31428571,-5.9,-17.77857143,13,0,0,14
15,2011,1.285714286,0.557142857,7.8,2.4,-1.092857143,5.828571429,-4.314285714,5,3,1,10
16,2011,0,0.471428571,6.6,5.578571429,1.492857143,9.728571429,-2.778571429,0,0,0,11
17,2011,0,0.335714286,4.7,9.007142857,2.307142857,15.85714286,-3.542857143,0,0,0,12
18,2011,0,1.464285714,20.5,8.45,3.285714286,13.10714286,-1.528571429,0,0,0,9
19,2011,0,2.035714286,28.5,7.728571429,3.035714286,12.06428571,-1.328571429,0,0,0,11
20,2011,0,1.1,15.4,14.20714286,7.5,19.95,2.492857143,0,0,0,4
21,2011,0,1.757142857,24.6,13.57857143,7.185714286,19.55,2.321428571,0,0,0,4
22,2011,0,0.6,8.4,17.81428571,12,23.47857143,6.271428571,0,0,0,0
23,2011,0,2.942857143,41.2,15.40714286,10.57857143,20.28571429,7.221428571,0,0,0,0
